,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
748,825489,1180,-98.6458346388889,-98.6458346388889,SUPERFICIAL
751,825507,1181,-99.35361144444444,-99.35361144444444,SUPERFICIAL
759,825556,1182,-98.98500019444444,-98.98500019444444,SUPERFICIAL
760,825560,1183,-99.00555588888889,-99.00555588888889,SUPERFICIAL
761,825563,1184,-99.00694533333333,-99.00694533333333,SUPERFICIAL
766,825592,1185,-99.405001,-99.405001,SUPERFICIAL
767,825595,1186,-99.22139061111112,-99.22139061111112,SUPERFICIAL
768,825598,1187,-99.21944772222223,-99.21944772222223,SUPERFICIAL
769,825601,1188,-98.93277819444445,-98.93277819444445,SUPERFICIAL
770,825610,1189,-99.37138952777777,-99.37138952777777,SUPERFICIAL
780,825665,1190,-98.63055569444444,-98.63055569444444,SUPERFICIAL
782,825692,1191,-98.9708335,-98.9708335,SUPERFICIAL
784,825727,1192,-98.86194455555555,-98.86194455555555,SUPERFICIAL
827,827476,1193,-99.03472238888888,-99.03472238888888,SUPERFICIAL
828,827491,1194,-98.87020841666666,-98.87020841666666,SUPERFICIAL
829,827491,1195,-98.88888897222223,-98.88888897222223,SUPERFICIAL
830,827491,1196,-98.86722230555554,-98.86722230555554,SUPERFICIAL
831,827491,1197,-98.88000008333333,-98.88000008333333,SUPERFICIAL
832,827491,1198,-98.89777811111112,-98.89777811111112,SUPERFICIAL
834,827514,1199,-98.59252852777777,-98.59252852777777,SUPERFICIAL
835,827518,1200,-99.71166797222223,-99.71166797222223,SUPERFICIAL
836,827518,1201,-99.70777908333334,-99.70777908333334,SUPERFICIAL
837,827518,1202,-99.715836,-99.715836,SUPERFICIAL
838,827520,1203,-99.81666705555556,-99.81666705555556,SUPERFICIAL
839,827520,1204,-99.8333335,-99.8333335,SUPERFICIAL
840,827520,1205,-99.8061116111111,-99.8061116111111,SUPERFICIAL
841,827522,1206,-99.57805572222222,-99.57805572222222,SUPERFICIAL
842,827522,1207,-99.58250013888889,-99.58250013888889,SUPERFICIAL
843,827545,1208,-99.53333366666666,-99.53333366666666,SUPERFICIAL
844,827567,1209,-98.84444480555555,-98.84444480555555,SUPERFICIAL
845,827568,1210,-99.45833397222222,-99.45833397222222,SUPERFICIAL
857,827797,1211,-98.91138902777779,-98.91138902777779,SUPERFICIAL
858,827802,1212,-98.75694475,-98.75694475,SUPERFICIAL
859,827811,1213,-98.2747225,-98.2747225,SUPERFICIAL
860,827814,1214,-98.9500001388889,-98.9500001388889,SUPERFICIAL
861,827858,1215,-99.18555602777778,-99.18555602777778,SUPERFICIAL
862,827884,1216,-98.55777794444444,-98.55777794444444,SUPERFICIAL
863,827885,1217,-99.3663335,-99.3663335,SUPERFICIAL
864,827887,1218,-99.22194977777778,-99.22194977777778,SUPERFICIAL
870,827916,1219,-98.68138913888889,-98.68138913888889,SUPERFICIAL
877,828019,1220,-99.21694491666666,-99.21694491666666,SUPERFICIAL
878,828019,1221,-99.21666708333333,-99.21666708333333,SUPERFICIAL
880,828048,1222,-99.36944475,-99.36944475,SUPERFICIAL
39,811520,1223,-104.62722252777777,-104.62722252777777,SUPERFICIAL
42,811867,1224,-103.19305605555556,-103.19305605555556,SUPERFICIAL
44,811929,1225,-102.13778044444445,-102.13778044444445,SUPERFICIAL
45,811985,1226,-103.96416716666667,-103.96416716666667,SUPERFICIAL
46,812067,1227,-104.42250016666667,-104.42250016666667,SUPERFICIAL
54,812378,1228,-104.86222488888889,-104.86222488888889,SUPERFICIAL
77,813598,1229,-102.49861141666666,-102.49861141666666,SUPERFICIAL
80,813659,1230,-102.71955586111112,-102.71955586111112,SUPERFICIAL
81,813659,1231,-102.71997252777778,-102.71997252777778,SUPERFICIAL
82,813659,1232,-102.72125047222222,-102.72125047222222,SUPERFICIAL
99,814088,1233,-103.85787255555555,-103.85787255555555,SUPERFICIAL
116,814568,1234,-101.70622238888889,-101.70622238888889,SUPERFICIAL
221,816232,1235,-103.96388925000001,-103.96388925000001,SUPERFICIAL
232,816344,1236,-103.43472258333334,-103.43472258333334,SUPERFICIAL
328,817657,1237,-103.20833366666668,-103.20833366666668,SUPERFICIAL
333,817848,1238,-103.50055552777778,-103.50055552777778,SUPERFICIAL
363,818093,1239,-102.43611133333334,-102.43611133333334,SUPERFICIAL
393,818508,1240,-103.46413902777778,-103.46413902777778,SUPERFICIAL
434,819618,1241,-103.13583366666667,-103.13583366666667,SUPERFICIAL
437,819667,1242,-103.85972422222221,-103.85972422222221,SUPERFICIAL
459,821243,1243,-104.83000013888889,-104.83000013888889,SUPERFICIAL
460,821292,1244,-102.2208335,-102.2208335,SUPERFICIAL
465,821389,1245,-103.30735588888889,-103.30735588888889,SUPERFICIAL
467,821504,1246,-103.0833335,-103.0833335,SUPERFICIAL
474,821712,1247,-104.51861127777778,-104.51861127777778,SUPERFICIAL
475,821727,1248,-103.27555572222222,-103.27555572222222,SUPERFICIAL
476,821729,1249,-104.24083350000001,-104.24083350000001,SUPERFICIAL
492,821988,1250,-103.95555572222223,-103.95555572222223,SUPERFICIAL
541,822637,1251,-104.61722255555554,-104.61722255555554,SUPERFICIAL
542,822640,1252,-101.90444461111112,-101.90444461111112,SUPERFICIAL
563,823151,1253,-103.35472277777777,-103.35472277777777,SUPERFICIAL
565,823218,1254,-104.2022223888889,-104.2022223888889,SUPERFICIAL
582,823622,1255,-104.0458335,-104.0458335,SUPERFICIAL
583,823661,1256,-101.96833333333333,-101.96833333333333,SUPERFICIAL
584,823661,1257,-101.96666733333333,-101.96666733333333,SUPERFICIAL
587,823694,1258,-103.53416666666666,-103.53416666666666,SUPERFICIAL
588,823700,1259,-101.9238888888889,-101.9238888888889,SUPERFICIAL
613,824036,1260,-102.25250016666666,-102.25250016666666,SUPERFICIAL
624,824156,1261,-103.18805572222223,-103.18805572222223,SUPERFICIAL
625,824156,1262,-103.19027777777778,-103.19027777777778,SUPERFICIAL
626,824156,1263,-103.18805572222223,-103.18805572222223,SUPERFICIAL
627,824156,1264,-103.19444461111111,-103.19444461111111,SUPERFICIAL
628,824180,1265,-102.80472238888889,-102.80472238888889,SUPERFICIAL
