NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
22953,02SON151444/09FKDA15,3849120.0,19440.0,2022-05-22
22954,02SON151450/09FMDA14,1419120.0,3888.0,2022-05-22
22955,02SON151477/09DKDA14,113629320.0,631274.0,2022-05-22
22956,02SON151531/09ERDA14,5475.0,15.0,2022-05-22
22957,02SON151564/09EBDA15,157680.0,432.0,2022-05-22
22958,02SON151590/09GMDA15,44000.0,160.0,2022-05-22
22959,02SON151714/09DIDA15,20160.0,84.0,2022-05-22
22960,02SON151715/09DKDA15,5400000.0,30000.0,2022-05-22
22961,02SON151746/09DKDA15,181102190.2,1472375.53,2022-05-22
22962,02SON151759/09DKDA15,2896000.0,36200.0,2022-05-22
22963,02SON151777/09EMDA15,150.0,0.41,2022-05-22
22964,02SON151777/09EMDA15,420.0,1.15,2022-05-22
22965,02SON151830/08EMDA15,2920.0,8.0,2022-05-22
22966,02SON151834/09DMDA15,1800.0,20.0,2022-05-22
22967,02SON151843/09FMDA15,300000.0,821.92,2022-05-22
22968,02SON151938/09FRDA16,236520.0,648.0,2022-05-22
22969,02SON151939/09FKDA15,154080.0,428.0,2022-05-22
22970,02SON151939/09FKDA15,7776000.0,21600.0,2022-05-22
22971,02SON151942/09LKDA15,3707904.0,32813.31,2022-05-22
22972,02SON151990/09ERDA16,25560.0,71.0,2022-05-22
22973,02SON152017/08EIDA16,160075.0,455.0,2022-05-22
22974,02SON152018/09DIDA16,22191000.0,170700.0,2022-05-22
22975,02SON152023/09FKDA16,657000.0,1800.0,2022-05-22
22976,02SON152023/09FKDA16,195000.0,650.0,2022-05-22
22977,02SON152059/08EMDA16,14600.0,40.0,2022-05-22
22978,02SON152075/09DKDA16,1500150.0,4110.0,2022-05-22
22979,02SON152079/09FKDA16,490320.0,2724.0,2022-05-22
22980,02SON152096/08HMGC16,558085.0,1529.0,2022-05-22
22981,02SON152133/08EMDA16,47304.0,129.6,2022-05-22
22982,02SON152162/09ERDA16,1368.75,3.75,2022-05-22
22983,03DGO153067/11IMDL13,19875.5,63.5,2022-05-22
22984,03DGO153067/11IMDL13,313.0,1.0,2022-05-22
22985,03DGO154998/11EMDL15,46695.0,127.93,2022-05-22
22986,03DGO154998/11EMDL15,45000.0,123.28,2022-05-22
22987,03DGO155010/11HMDL15,3153600.0,8640.0,2022-05-22
22988,03DGO155022/11HMDL15,11643.5,31.9,2022-05-22
22989,03DGO155024/11HMDL15,946080.0,2592.0,2022-05-22
22990,03DGO155032/11HPDL15,12410.0,34.0,2022-05-22
22991,03DGO155045/11HODL15,109500.0,300.0,2022-05-22
22992,03DGO155080/11DQDL15,13377.0,36.65,2022-05-22
22993,03DGO155102/11HPDL15,39420.0,108.0,2022-05-22
22994,03DGO155160/11HMDL16,8395.0,23.0,2022-05-22
22995,03DGO155249/10EMDL16,31755.0,87.0,2022-05-22
22996,03DGO155265/11HMDL16,40150.0,110.0,2022-05-22
22997,03DGO155339/11HMDL16,32047.0,87.8,2022-05-22
22998,03DGO155342/11HMDL16,31390.0,86.0,2022-05-22
22999,03DGO158494/11HMDL17,389090.0,1066.0,2022-05-22
23000,03DGO158589/11EMDL17,4099.0,11.23,2022-05-22
23001,03DGO158592/11HDDL17,708684.0,1941.6,2022-05-22
23002,03DGO158596/11EMDL17,1577.0,4.32,2022-05-22
23003,03DGO158671/10EDDL17,25500.0,69.86,2022-05-22
23004,03NAY150208/11FMDL12,7200.0,40.0,2022-05-22
23005,03NAY150369/11DIDL12,30000.0,15000.0,2022-05-22
23006,03NAY152602/12IPDL13,2276.1,25.29,2022-05-22
23007,03NAY152602/12IPDL13,541.8,6.02,2022-05-22
23008,03NAY152620/11CMGC13,46673.28,127.87,2022-05-22
23009,03NAY155362/11DIDL16,614792.0,61479.0,2022-05-22
23010,03NAY155516/12ELDL15,2901.0,5.73,2022-05-22
23011,03NAY155517/12BLDL15,27908.0,76.46,2022-05-22
23012,03NAY155658/11ELDL16,1050.0,3.5,2022-05-22
23013,03NAY155794/11DIDL16,1260000.0,5250.0,2022-05-22
23014,03NAY155848/11DCDL16,42120.0,468.0,2022-05-22
23015,03NAY155883/11DIDL16,2400000.0,11428.57,2022-05-22
23016,03NAY155885/11DIDL17,704000.0,3352.0,2022-05-22
23017,03NAY155971/11HODL17,31536.0,86.4,2022-05-22
23018,03NAY159567/11HODL17,39.22,0.74,2022-05-22
23019,03SIN150055/10DIDA11,2640000.0,17600.0,2022-05-22
23020,02SON152255/07HMGC16,946080.0,2592.0,2022-05-22
23021,02SON152262/09ERDA16,135885.8,372.29,2022-05-22
23022,02SON152270/09DKDA16,25510.8,2125.9,2022-05-22
23023,02SON152299/09EBDA16,912.5,2.5,2022-05-22
23024,02SON152301/09ERDA16,20075.0,55.0,2022-05-22
23025,02SON152312/09GMDA16,54750.0,150.0,2022-05-22
23026,02SON152313/09GMDA16,102200.0,280.0,2022-05-22
23027,02SON152598/09FRGC17,6307200.0,17280.0,2022-05-22
23028,02SON152735/09EMDA17,9125.0,25.0,2022-05-22
23029,02SON152738/09GMDA17,10950.0,30.0,2022-05-22
23030,02SON152880/09ERDA18,20075.0,55.0,2022-05-22
23031,02SON152891/09ERDA18,59130.0,162.0,2022-05-22
23032,02SON152953/09FMDA18,65700.0,180.0,2022-05-22
23033,02SON152989/09IMDA18,5000.0,13.7,2022-05-22
23034,02SON152989/09IMDA18,20002.0,54.8,2022-05-22
23035,02SON153370/08ERDA18,977616.0,2678.4,2022-05-22
23036,02SON153372/08ERDA18,977616.0,2678.4,2022-05-22
23037,02SON153373/09GMDA18,49640.0,136.0,2022-05-22
23038,02SON153375/09DXDA18,2712384.0,15068.8,2022-05-22
23039,02SON153375/09DXDA18,6328896.0,35160.53,2022-05-22
23040,02SON153397/08ERDA18,1387.0,3.8,2022-05-22
23041,02SON153399/09FXDA18,638551440.0,1749456.0,2022-05-22
23042,02SON153424/09GMDA18,25550.0,70.0,2022-05-22
23043,02SON153464/09EMDA18,1597.0,4.38,2022-05-22
23044,02SON153482/09GMDA18,63072.0,172.8,2022-05-22
23045,03DGO150028/11ERDL11,10220.0,28.0,2022-05-22
23046,03DGO150029/11ERDL11,3240.0,18.0,2022-05-22
23047,03DGO150030/11ERDL11,3070.0,10.0,2022-05-22
23048,03DGO150044/11EMDL12,600.0,2.0,2022-05-22
23049,03DGO150044/11EMDL12,600.0,2.0,2022-05-22
23050,03DGO150052/11EMDL12,1460.0,4.0,2022-05-22
23051,03DGO150052/11EMDL12,1460.0,4.0,2022-05-22
23052,03DGO150067/11EMDL12,1715.5,4.7,2022-05-22
23053,03DGO150089/11EMDL12,1248.0,12.0,2022-05-22
23054,03SIN150062/11ERDA12,769770.0,2851.0,2022-05-22
23055,03SIN150064/10GMDA12,51100.0,140.0,2022-05-22
23056,03SIN150074/11DIDA12,576000.0,2400.0,2022-05-22
23057,03SIN150079/11FRDA12,2520.0,14.0,2022-05-22
23058,03SIN150121/10HMDA12,197414.0,541.0,2022-05-22
23059,03SIN150447/10HCDA12,47304.0,129.6,2022-05-22
23060,03SIN150143/10DKDA12,326000.0,32600.0,2022-05-22
23061,03SIN150166/10FRDA12,40011.3,109.62,2022-05-22
23062,03SIN150242/10ERDA12,12300.0,41.0,2022-05-22
23063,03SIN150251/11DIDA12,336000.0,1400.0,2022-05-22
23064,03SIN150257/11DIDA12,750000.0,3125.0,2022-05-22
23065,03SIN150557/10FRDA12,3640.0,10.0,2022-05-22
23066,03SIN150574/10FRDA12,120.0,10.0,2022-05-22
23067,03SIN150586/10HCDA16,630720.0,1728.0,2022-05-22
23068,03SIN150638/11ERDA12,1513728.0,4147.2,2022-05-22
23069,03SIN150724/11DIDA12,540000.0,6750.0,2022-05-22
